티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
204320,만도,64300,63000,-1300,-2.02,369167,23718145400
001080,만호제강,22050,22100,50,0.23,1932,42420050
088980,맥쿼리인프라,13700,13500,-200,-1.46,1593332,21751348150
094800,맵스리얼티1,4970,4985,15,0.3,58244,290499485
138040,메리츠금융지주,33700,33150,-550,-1.63,83789,2760909600
008560,메리츠증권,4855,4740,-115,-2.37,1209954,5785662695
000060,메리츠화재,29500,29100,-400,-1.36,182783,5374113950
090370,메타랩스,1040,1040,0,0.0,154765,160782590
017180,명문제약,5820,5740,-80,-1.37,498041,2892617350
009900,명신산업,29400,29050,-350,-1.19,523216,15444910050
012690,모나리자,4030,4030,0,0.0,59506,239952440
005360,모나미,4760,4710,-50,-1.05,75979,360728245
204210,모두투어리츠,4580,4495,-85,-1.86,22636,101883170
009680,모토닉,11150,11150,0,0.0,35871,399122950
009580,무림PP,4570,4530,-40,-0.88,96796,437933045
009200,무림페이퍼,2790,2765,-25,-0.9,54579,151841695
033920,무학,10400,9720,-680,-6.54,174467,1746946700
008420,문배철강,4335,4330,-5,-0.12,71305,311359110
025560,미래산업,14250,13850,-400,-2.81,14681,205988200
007120,미래아이앤지,545,540,-5,-0.92,338772,183840622
357250,미래에셋맵스리츠,5060,5100,40,0.79,42219,215152470
085620,미래에셋생명,4365,4275,-90,-2.06,89327,385186860
006800,미래에셋증권,8860,8730,-130,-1.47,944780,8319319490
00680K,미래에셋증권2우B,4935,4890,-45,-0.91,199846,984554270
006805,미래에셋증권우,5780,5720,-60,-1.04,49552,284587900
002840,미원상사,210500,208500,-2000,-0.95,1952,408404000
268280,미원에스씨,217000,216000,-1000,-0.46,1522,331834500
107590,미원홀딩스,138500,140000,1500,1.08,615,85881500
134380,미원화학,80600,80400,-200,-0.25,138,11113500
003650,미창석유,78600,80300,1700,2.16,86733,7794908500
155900,바다로19호,3140,3160,20,0.64,22637,71238530
003610,방림,2770,2715,-55,-1.99,148643,407683840
001340,백광산업,5800,5710,-90,-1.55,612172,3533995480
035150,백산,8060,7980,-80,-0.99,186421,1488477850
002410,범양건영,7930,7840,-90,-1.13,701880,5606251300
096300,베트남개발1,240,240,0,0.0,90118,21590768
007210,벽산,3685,3695,10,0.27,352850,1316172910
002760,보락,2150,2110,-40,-1.86,146317,312272830
003850,보령제약,14700,14550,-150,-1.02,116058,1694214250
000890,보해양조,1000,997,-3,-0.3,1022522,1024512616
003000,부광약품,13500,13350,-150,-1.11,382722,5149231300
001270,부국증권,24900,24700,-200,-0.8,1795,44427100
001275,부국증권우,23100,22900,-200,-0.87,420,9652000
026940,부국철강,4720,4730,10,0.21,349404,1646483695
015350,부산가스,84300,84100,-200,-0.24,17682,1487845600
011390,부산산업,124500,125000,500,0.4,5014,628509500
005030,부산주공,644,630,-14,-2.17,502464,320257098
002070,비비안,3175,3105,-70,-2.2,117659,368526605
100220,비상교육,8440,8260,-180,-2.13,29814,247951790
030790,비케이탑스,3765,3670,-95,-2.52,111117,410848855
005180,빙그레,56100,56200,100,0.18,10716,601604900
003960,사조대림,28000,27650,-350,-1.25,25451,709750200
008040,사조동아원,1295,1285,-10,-0.77,465077,604089950
007160,사조산업,47950,48350,400,0.83,7552,364558750
014710,사조씨푸드,5300,5230,-70,-1.32,25940,136889270
006090,사조오양,9890,9750,-140,-1.42,34730,340211620
001470,삼부토건,2155,2125,-30,-1.39,984640,2108624025
006400,삼성SDI,750000,746000,-4000,-0.53,274688,206875605000
006405,삼성SDI우,382000,381000,-1000,-0.26,2083,797605000
006660,삼성공조,16300,16900,600,3.68,148060,2562590750
028260,삼성물산,120500,117000,-3500,-2.9,628269,74016600500
02826K,삼성물산우B,113500,111000,-2500,-2.2,1998,222942500
207940,삼성바이오로직스,898000,886000,-12000,-1.34,76267,68309812730
032830,삼성생명,69800,69100,-700,-1.0,318771,22125525200
018260,삼성에스디에스,160000,155000,-5000,-3.13,117490,18359651500
028050,삼성엔지니어링,26250,25200,-1050,-4.0,2109782,54273659050
009150,삼성전기,159000,167000,8000,5.03,1841418,301060444750
009155,삼성전기우,90300,96400,6100,6.76,52845,5043415000
005930,삼성전자,70100,70700,600,0.86,20644902,1459533451800
005935,삼성전자우,64600,65400,800,1.24,1504358,97797935100
001360,삼성제약,6030,5950,-80,-1.33,311956,1868537670
010140,삼성중공업,6450,6380,-70,-1.09,9128575,58934865560
010145,삼성중공우,266000,258500,-7500,-2.82,1361,353742500
016360,삼성증권,48800,47750,-1050,-2.15,233336,11244560650
068290,삼성출판사,35150,35200,50,0.14,48492,1721167950
029780,삼성카드,35150,34650,-500,-1.42,237534,8248329550
000810,삼성화재,251500,236000,-15500,-6.16,142693,34185075500
000815,삼성화재우,185500,180000,-5500,-2.96,23041,4162469500
006110,삼아알미늄,26950,26300,-650,-2.41,180667,4765816700
145990,삼양사,69400,68100,-1300,-1.87,31895,2186092600
145995,삼양사우,43900,43900,0,0.0,62,2714500
003230,삼양식품,83800,82200,-1600,-1.91,15308,1260991900
002170,삼양통상,64300,64100,-200,-0.31,6614,424406900
272550,삼양패키징,27200,27200,0,0.0,26839,726014850
000070,삼양홀딩스,108000,104500,-3500,-3.24,34740,3664507500
000075,삼양홀딩스우,70500,69800,-700,-0.99,78,5444300
002810,삼영무역,15650,15600,-50,-0.32,9084,141870650
005680,삼영전자,12300,12200,-100,-0.81,61320,749372250
003720,삼영화학,2995,3260,265,8.85,2659853,8565396790
023000,삼원강재,3305,3330,25,0.76,13674,45396435
004380,삼익THK,12150,12150,0,0.0,15976,193641750
002450,삼익악기,1835,1840,5,0.27,169426,311015965
004440,삼일씨엔에스,10600,10800,200,1.89,28533,308674200
000520,삼일제약,8250,8210,-40,-0.48,30304,247052610
009770,삼정펄프,30200,30200,0,0.0,703,21213550
005500,삼진제약,25850,25900,50,0.19,22863,593633000
004690,삼천리,95600,94700,-900,-0.94,7870,747351900
010960,삼호개발,5210,5170,-40,-0.77,37577,195043500
004450,삼화왕관,43550,43850,300,0.69,154,6731650
009470,삼화전기,29450,29300,-150,-0.51,19464,571240950
